subject_id,gender,age,laterality,task,movement_time,n_points,sampling_rate,filename,rmse,mean_radius
1,F,38,90.0,drawing,3.307,154,46.6,subject_1_F_38_yrs_old_90_drawing.csv,0.4369,3.0556
1,F,38,90.0,tracing,39.194,1544,39.4,subject_1_F_38_yrs_old_90_tracing.csv,0.2207,5.0556
2,F,20,100.0,drawing,2.167,122,56.3,subject_2_F_20_yrs_old_100_drawing.csv,0.4164,3.0146
2,F,20,100.0,tracing,15.254,876,57.4,subject_2_F_20_yrs_old_100_tracing.csv,0.1739,5.0786
3,F,21,90.0,drawing,4.374,227,51.9,subject_3_F_21_yrs_old_90_drawing.csv,0.3366,2.2363
3,F,21,90.0,tracing,9.94,531,53.4,subject_3_F_21_yrs_old_90_tracing.csv,0.1746,5.0799
4,F,23,-20.0,drawing,3.471,186,53.6,subject_4_F_23_yrs_old_-20_drawing.csv,0.8127,4.3532
4,F,23,-20.0,tracing,34.609,1467,42.4,subject_4_F_23_yrs_old_-20_tracing.csv,0.1869,5.0767
5,F,21,90.0,drawing,6.247,286,45.8,subject_5_F_21_yrs_old_90_drawing.csv,0.2331,1.0268
5,F,21,90.0,tracing,32.579,1586,48.7,subject_5_F_21_yrs_old_90_tracing.csv,0.1706,5.0727
6,F,21,-80.0,drawing,4.996,257,51.4,subject_6_F_21_yrs_old_-80_drawing.csv,0.2318,1.4596
6,F,21,-80.0,tracing,27.938,1379,49.4,subject_6_F_21_yrs_old_-80_tracing.csv,0.1731,5.0798
7,F,34,80.0,drawing,4.843,244,50.4,subject_7_F_34_yrs_old_80_drawing.csv,0.2503,1.1738
7,F,34,80.0,tracing,20.684,1153,55.7,subject_7_F_34_yrs_old_80_tracing.csv,0.1591,5.0777
8,F,22,100.0,drawing,2.729,133,48.7,subject_8_F_22_yrs_old_100_drawing.csv,0.3182,3.5031
8,F,22,100.0,tracing,19.987,1076,53.8,subject_8_F_22_yrs_old_100_tracing.csv,0.18,5.101
9,F,23,100.0,drawing,4.061,193,47.5,subject_9_F_23_yrs_old_100_drawing.csv,0.6317,4.1616
9,F,23,100.0,tracing,15.736,856,54.4,subject_9_F_23_yrs_old_100_tracing.csv,0.2158,5.1306
10,F,23,100.0,drawing,6.695,350,52.3,subject_10_F_23_yrs_old_100_drawing.csv,0.5397,3.0736
10,F,23,100.0,tracing,62.122,1764,28.4,subject_10_F_23_yrs_old_100_tracing.csv,0.5411,5.0548
11,F,21,100.0,drawing,2.96,167,56.4,subject_11_F_21_yrs_old_100_drawing.csv,1.5619,4.7606
11,F,21,100.0,tracing,22.544,1130,50.1,subject_11_F_21_yrs_old_100_tracing.csv,0.2286,5.0916
12,F,29,60.0,drawing,3.334,167,50.1,subject_12_F_29_yrs_old_60_drawing.csv,0.3026,1.8316
12,F,29,60.0,tracing,13.761,791,57.5,subject_12_F_29_yrs_old_60_tracing.csv,0.1833,5.0982
13,F,23,100.0,drawing,4.229,173,40.9,subject_13_F_23_yrs_old_100_drawing.csv,0.3912,2.1554
13,F,23,100.0,tracing,6.616,324,49.0,subject_13_F_23_yrs_old_100_tracing.csv,0.3537,5.0475
14,F,20,80.0,drawing,6.569,359,54.7,subject_14_F_20_yrs_old_80_drawing.csv,0.8986,4.0383
14,F,20,80.0,tracing,17.718,951,53.7,subject_14_F_20_yrs_old_80_tracing.csv,0.177,5.078
15,F,20,100.0,drawing,3.845,211,54.9,subject_15_F_20_yrs_old_100_drawing.csv,0.8689,4.8208
15,F,20,100.0,tracing,17.996,989,55.0,subject_15_F_20_yrs_old_100_tracing.csv,0.1776,5.0967
16,F,20,100.0,drawing,2.678,147,54.9,subject_16_F_20_yrs_old_100_drawing.csv,0.3278,3.1722
16,F,20,100.0,tracing,4.072,214,52.6,subject_16_F_20_yrs_old_100_tracing.csv,0.1664,5.1216
17,F,21,100.0,drawing,3.809,194,50.9,subject_17_F_21_yrs_old_100_drawing.csv,0.5638,4.1562
17,F,21,100.0,tracing,11.47,656,57.2,subject_17_F_21_yrs_old_100_tracing.csv,0.1605,5.069
18,F,23,65.0,drawing,15.499,787,50.8,subject_18_F_23_yrs_old_65_drawing.csv,0.4267,1.4564
18,F,23,65.0,tracing,88.286,1869,21.2,subject_18_F_23_yrs_old_65_tracing.csv,0.372,5.0652
19,F,24,75.0,drawing,20.705,628,30.3,subject_19_F_24_yrs_old_75_drawing.csv,0.7978,3.3363
19,F,24,75.0,tracing,99.126,1866,18.8,subject_19_F_24_yrs_old_75_tracing.csv,0.1708,4.9945
20,F,22,100.0,drawing,5.115,306,59.8,subject_20_F_22_yrs_old_100_drawing.csv,0.6864,4.3647
20,F,22,100.0,tracing,25.004,1033,41.3,subject_20_F_22_yrs_old_100_tracing.csv,0.3311,5.0767
21,F,20,-10.0,drawing,5.257,311,59.2,subject_21_F_20_yrs_old_-10_drawing.csv,0.6558,3.2527
21,F,20,-10.0,tracing,38.49,1654,43.0,subject_21_F_20_yrs_old_-10_tracing.csv,0.3073,4.9114
22,F,23,100.0,drawing,4.043,225,55.6,subject_22_F_23_yrs_old_100_drawing.csv,0.4702,1.9453
22,F,23,100.0,tracing,10.987,627,57.1,subject_22_F_23_yrs_old_100_tracing.csv,0.5205,5.0061
23,F,24,75.0,drawing,4.197,247,58.8,subject_23_F_24_yrs_old_75_drawing.csv,0.289,1.6183
23,F,24,75.0,tracing,19.351,1019,52.7,subject_23_F_24_yrs_old_75_tracing.csv,0.28,5.0724
24,F,21,30.0,drawing,4.104,220,53.6,subject_24_F_21_yrs_old_30_drawing.csv,0.9843,3.1643
24,F,21,30.0,tracing,28.003,1447,51.7,subject_24_F_21_yrs_old_30_tracing.csv,0.9049,4.8374
25,F,21,100.0,drawing,5.915,302,51.1,subject_25_F_21_yrs_old_100_drawing.csv,0.5452,4.6799
25,F,21,100.0,tracing,32.511,1454,44.7,subject_25_F_21_yrs_old_100_tracing.csv,0.1874,5.1429
26,F,20,100.0,drawing,8.793,488,55.5,subject_26_F_20_yrs_old_100_drawing.csv,0.7015,3.3055
26,F,20,100.0,tracing,30.329,1453,47.9,subject_26_F_20_yrs_old_100_tracing.csv,0.3163,5.1407
27,M,21,85.0,drawing,9.597,557,58.0,subject_27_M_21_yrs_old_85_drawing.csv,0.3333,4.1449
27,M,21,85.0,tracing,41.069,1710,41.6,subject_27_M_21_yrs_old_85_tracing.csv,0.33,5.0979
28,F,21,80.0,drawing,4.799,269,56.0,subject_28_F_21_yrs_old_80_drawing.csv,1.6877,6.3751
28,F,21,80.0,tracing,34.733,1575,45.3,subject_28_F_21_yrs_old_80_tracing.csv,0.2183,5.0932
29,F,22,100.0,drawing,4.38,260,59.4,subject_29_F_22_yrs_old_100_drawing.csv,0.3483,2.091
29,F,22,100.0,tracing,10.379,612,59.0,subject_29_F_22_yrs_old_100_tracing.csv,0.5048,4.9332
30,F,20,100.0,drawing,4.018,231,57.5,subject_30_F_20_yrs_old_100_drawing.csv,1.109,3.3203
30,F,20,100.0,tracing,22.856,1197,52.4,subject_30_F_20_yrs_old_100_tracing.csv,0.6923,4.656
31,F,21,90.0,drawing,3.931,199,50.6,subject_31_F_21_yrs_old_90_drawing.csv,0.5146,3.7466
31,F,21,90.0,tracing,10.439,551,52.8,subject_31_F_21_yrs_old_90_tracing.csv,0.2832,5.0789
32,F,21,50.0,drawing,8.655,448,51.8,subject_32_F_21_yrs_old_50_drawing.csv,0.2948,2.0951
32,F,21,50.0,tracing,59.871,1772,29.6,subject_32_F_21_yrs_old_50_tracing.csv,0.2318,5.0592
33,F,20,100.0,drawing,8.876,462,52.1,subject_33_F_20_yrs_old_100_drawing.csv,1.0026,3.8281
33,F,20,100.0,tracing,23.492,1270,54.1,subject_33_F_20_yrs_old_100_tracing.csv,0.6641,4.8528
34,F,21,100.0,drawing,30.969,1317,42.5,subject_34_F_21_yrs_old_100_drawing.csv,0.7508,3.0858
34,F,21,100.0,tracing,41.603,1639,39.4,subject_34_F_21_yrs_old_100_tracing.csv,0.3056,5.0419
35,F,21,90.0,drawing,7.523,407,54.1,subject_35_F_21_yrs_old_90_drawing.csv,0.1077,2.6396
35,F,21,90.0,tracing,20.511,1161,56.6,subject_35_F_21_yrs_old_90_tracing.csv,0.174,5.0752
36,F,35,90.0,drawing,6.054,273,45.1,subject_36_F_35_yrs_old_90_drawing.csv,0.0465,1.786
36,F,35,90.0,tracing,20.07,1093,54.5,subject_36_F_35_yrs_old_90_tracing.csv,0.1688,5.0744
37,F,22,80.0,drawing,5.743,299,52.1,subject_37_F_22_yrs_old_80_drawing.csv,1.0524,3.4518
37,F,22,80.0,tracing,12.697,700,55.1,subject_37_F_22_yrs_old_80_tracing.csv,0.2381,5.0895
38,F,28,100.0,drawing,2.691,134,49.8,subject_38_F_28_yrs_old_100_drawing.csv,0.8277,5.8868
38,F,28,100.0,tracing,11.429,656,57.4,subject_38_F_28_yrs_old_100_tracing.csv,0.5064,5.0553
39,F,21,60.0,drawing,1.305,63,48.3,subject_39_F_21_yrs_old_60_drawing.csv,0.6742,5.1187
39,F,21,60.0,tracing,3.749,211,56.3,subject_39_F_21_yrs_old_60_tracing.csv,0.1964,5.0984
40,M,23,70.0,drawing,3.767,219,58.1,subject_40_M_23_yrs_old_70_drawing.csv,0.7185,2.829
40,M,23,70.0,tracing,12.261,689,56.2,subject_40_M_23_yrs_old_70_tracing.csv,0.5408,4.9047
41,F,21,100.0,drawing,1.719,105,61.1,subject_41_F_21_yrs_old_100_drawing.csv,0.7395,3.3771
41,F,21,100.0,tracing,10.443,611,58.5,subject_41_F_21_yrs_old_100_tracing.csv,0.5851,3.794
42,F,21,100.0,drawing,3.404,203,59.6,subject_42_F_21_yrs_old_100_drawing.csv,0.8669,3.3901
42,F,21,100.0,tracing,18.872,1064,56.4,subject_42_F_21_yrs_old_100_tracing.csv,0.2939,5.064
43,M,21,100.0,drawing,8.519,465,54.6,subject_43_M_21_yrs_old_100_drawing.csv,1.1355,3.7239
43,M,21,100.0,tracing,17.402,968,55.6,subject_43_M_21_yrs_old_100_tracing.csv,0.3486,5.1144
44,M,21,60.0,drawing,6.203,263,42.4,subject_44_M_21_yrs_old_60_drawing.csv,1.3128,4.9199
44,M,21,60.0,tracing,25.537,1298,50.8,subject_44_M_21_yrs_old_60_tracing.csv,0.3776,5.0841
45,F,25,80.0,drawing,2.918,164,56.2,subject_45_F_25_yrs_old_80_drawing.csv,0.6276,5.0418
45,F,25,80.0,tracing,7.506,431,57.4,subject_45_F_25_yrs_old_80_tracing.csv,0.1967,5.111
46,F,28,100.0,drawing,5.993,351,58.6,subject_46_F_28_yrs_old_100_drawing.csv,0.4457,3.5093
46,F,28,100.0,tracing,15.61,903,57.8,subject_46_F_28_yrs_old_100_tracing.csv,0.1886,5.0554
47,M,25,50.0,drawing,5.632,245,43.5,subject_47_M_25_yrs_old_50_drawing.csv,0.3968,3.2696
47,M,25,50.0,tracing,12.788,717,56.1,subject_47_M_25_yrs_old_50_tracing.csv,0.4128,5.019
48,F,21,100.0,drawing,6.103,332,54.4,subject_48_F_21_yrs_old_100_drawing.csv,0.4921,1.6642
48,F,21,100.0,tracing,15.074,869,57.6,subject_48_F_21_yrs_old_100_tracing.csv,0.4425,5.0196
49,F,2,0.0,drawing,2.717,145,53.4,subject_49_F_2_yrs_old_0_drawing.csv,1.0914,3.792
49,F,2,0.0,tracing,4.979,280,56.2,subject_49_F_2_yrs_old_0_tracing.csv,0.4957,5.0289
50,F,20,100.0,drawing,2.721,139,51.1,subject_50_F_20_yrs_old_100_drawing.csv,0.862,3.6821
50,F,20,100.0,tracing,4.15,233,56.1,subject_50_F_20_yrs_old_100_tracing.csv,0.9417,4.8242
51,F,20,100.0,drawing,1.775,104,58.6,subject_51_F_20_yrs_old_100_drawing.csv,0.5511,3.8443
51,F,20,100.0,tracing,4.629,221,47.7,subject_51_F_20_yrs_old_100_tracing.csv,0.1892,5.0832
52,F,22,100.0,drawing,6.673,348,52.1,subject_52_F_22_yrs_old_100_drawing.csv,0.7364,4.4657
52,F,22,100.0,tracing,17.332,907,52.3,subject_52_F_22_yrs_old_100_tracing.csv,0.2895,5.1195
53,F,22,100.0,drawing,6.202,331,53.4,subject_53_F_22_yrs_old_100_drawing.csv,0.3765,4.2096
53,F,22,100.0,tracing,22.161,1203,54.3,subject_53_F_22_yrs_old_100_tracing.csv,0.1951,5.0799
54,F,43,100.0,drawing,4.714,262,55.6,subject_54_F_43_yrs_old_100_drawing.csv,0.5391,3.1876
54,F,43,100.0,tracing,31.603,1497,47.4,subject_54_F_43_yrs_old_100_tracing.csv,0.1919,5.0968
55,F,22,100.0,drawing,6.882,297,43.2,subject_55_F_22_yrs_old_100_drawing.csv,0.3494,2.5809
55,F,22,100.0,tracing,18.207,1034,56.8,subject_55_F_22_yrs_old_100_tracing.csv,0.4038,5.1857
56,F,20,60.0,drawing,4.628,255,55.1,subject_56_F_20_yrs_old_60_drawing.csv,0.1508,1.8165
56,F,20,60.0,tracing,15.643,881,56.3,subject_56_F_20_yrs_old_60_tracing.csv,0.5427,4.9021
57,F,27,100.0,drawing,2.849,159,55.8,subject_57_F_27_yrs_old_100_drawing.csv,0.616,3.1284
57,F,27,100.0,tracing,25.528,1356,53.1,subject_57_F_27_yrs_old_100_tracing.csv,0.2408,5.0231
58,F,24,100.0,drawing,4.934,265,53.7,subject_58_F_24_yrs_old_100_drawing.csv,0.6793,2.3037
58,F,24,100.0,tracing,42.425,1761,41.5,subject_58_F_24_yrs_old_100_tracing.csv,1.0369,3.9186
59,F,24,100.0,drawing,10.957,551,50.3,subject_59_F_24_yrs_old_100_drawing.csv,0.5632,2.0704
59,F,24,100.0,tracing,38.032,1651,43.4,subject_59_F_24_yrs_old_100_tracing.csv,0.8435,4.9779
60,M,24,50.0,drawing,8.828,260,29.5,subject_60_M_24_yrs_old_50_drawing.csv,0.6911,3.9295
60,M,24,50.0,tracing,28.108,1449,51.6,subject_60_M_24_yrs_old_50_tracing.csv,0.3794,5.0396
61,F,21,90.0,drawing,9.701,514,53.0,subject_61_F_21_yrs_old_90_drawing.csv,0.3969,2.9468
61,F,21,90.0,tracing,28.683,1384,48.3,subject_61_F_21_yrs_old_90_tracing.csv,0.3189,5.0775
62,F,22,100.0,drawing,2.261,83,36.7,subject_62_F_22_yrs_old_100_drawing.csv,0.34,2.8866
62,F,22,100.0,tracing,40.392,1657,41.0,subject_62_F_22_yrs_old_100_tracing.csv,0.2111,5.0832
63,M,23,80.0,drawing,7.963,340,42.7,subject_63_M_23_yrs_old_80_drawing.csv,0.8798,4.8856
